AuthorID,LastName,FirstName,City,State,Sex,Subject,BookTitle,PublishedDate
172-22-1176,White3,Johnson2,Menlo Park,CA,M,Travel,Prolonged Data Deprivation: Four Case Studies,7/1/2031
213-46-8915,Green,Marjorie,Oakland,CA,F,Action,The Busy Executive's Database Guide,7/1/2021
213-46-8915,Green,Marjorie,Oakland,CA,F,Action,You Can Combat Computer Stress!,7/19/2021
238-95-7766,Carson,Cheryl,Berkeley,CA,M,Sci-fi,But Is It User Friendly?,7/19/2021
267-41-2394,O'Leary,Michael,San Jose,CA,F,Sci-fi,Cooking with Computers: Surreptitious Balance Sheets,6/28/2021
267-41-2394,O'Leary,Michael,San Jose,CA,F,Sci,"Sushi, Anyone?",7/1/2021
274-80-9391,Straight,Dean,Oakland,CA,M,Romance,Straight Talk About Computers,7/11/2021
409-56-7008,Bennet,Abraham,Berkeley,CA,MALE,ACTION,The Busy Executive's Database Guide,7/1/2021
427-17-2319,Dull,Ann,Palo Alto,CA,F,Travel,Secrets of Silicon Valley,7/1/2021
472-27-2349,Gringlesby,Burt,Covelo,CA,U,Romance,"Sushi, Anyone?",7/1/2021
486-29-1786,Locksley,Charlene,San Francisco,CA,F,Action,Net Etiquette,4/27/2021
486-29-1786,Locksley,Charlene,San Francisco,CA,F,Action,Emotional Security: A New Algorithm,7/1/2021
648-92-1872,Blotchet-Halls,Reginald,Corvallis,OR,F,Sci-fi,Fifty Years in Buckingham Palace Kitchens,7/1/2021
672-71-3249,Yokomoto,Akiko,San Jose,CA,M,SCI-FI,"Sushi, Anyone?",7/1/2021
712-45-1867,del Castillo,Innes,Corvallis,OR,M,SCI-FI,Silicon Valley Gastronomic Treats,6/28/2021
722-51-5454,DeFrance,Michel,Gary,IN,F,Travel,The Gourmet Microwave,7/7/2021
724-80-9391,MacFeather,Stearns,Nashville,TN,F,Sci-fi,Cooking with Computers: Surreptitious Balance Sheets,6/28/2021
724-80-9391,MacFeather,Stearns,Nashville,TN,F,Sci-fi,Computer Phobic AND Non-Phobic Individuals: Behavior Variations,11/9/2021
756-30-7391,Karsen,Livia,Oakland,CA,U,Sci-fi,Computer Phobic AND Non-Phobic Individuals: Behavior Variations,11/9/2021
807-91-6654,Panteley,Sylvia,Oakland,CA,M,Sci-fi,"Onions, Leeks, and Garlic: Cooking Secrets of the Mediterranean",11/9/2021
846-92-7186,Hunter,Sheryl,Palo Alto,CA,Male,Sci-fi,Secrets of Silicon Valley,7/1/2021
899-46-2035,Ringer,Anne,Salt Lake City,UT,M,Sci-fi,The Gourmet Microwave,7/7/2021
899-46-2035,Ringer,Anne1,Salt Lake City,,M,Sci-fi,Is Anger the Enemy?,7/4/2021
998-72-3567,Ringer,Albert,Salt Lake City,,F,Travel,Ends of the earth,7/4/2021
998-72-3567,Ringer,Albert,Salt Lake City,UT,F,Travel,Life Without Fear,10/24/2021
724-80-9391,MacFeather,Stearns,Nashville,TN,F,Sci-fi,Cooking with Computers: Surreptitious Balance Sheets,6/28/2021
