Name,Gender,Start Date,Last Login Time,Salary,Bonus %,Senior Management,Team
"Smith, Douglas",Male,8/6/1993,12:42 PM,97308,6.945,TRUE,Marketing
"Johnson, Thomas",M,3/31/1996,6:53 AM,61933,4.17,TRUE,MARKETING
"Williams, Maria",F,4/23/1993,11:17 AM,130590,11.858,FALSE,Finance
"Brown, Jerry",Male,3/4/2005,1:00 PM,138705,9.34,TRUE,Finance
"Jones, Larry",Male,1/24/1998,4:47 PM,101004,1.389,TRUE,Client Services
"Garcia, Dennis",Male,4/18/1987,1:35 AM,115163,10.125,FALSE,Legal
"Miller, Ruby",Female,8/17/1987,4:20 PM,65476,10.012,TRUE,Product
"Davis, ",Female,7/20/2015,10:43 AM,45906,11.598,Yes,Finance
"Rodriguez, Angela",Female,11/22/2005,6:29 AM,95570,18.523,TRUE,Engineering
"Martinez, Frances",F,8/8/2002,6:51 AM,139852,7.524,TRUE,Business Development
"Hernandez, Louise",Female,8/12/1980,9:01 AM,63241,15.132,TRUE,ENGINEERING
"Lopez, Julie",Female,10/26/1997,3:19 PM,102508,12.637,TRUE,Legal
"Gonzalez, Brandon",M,12/1/1980,1:08 AM,112807,17.492,TRUE,Human Resources
"Wilson, Gary",Male,1/27/2008,11:40 PM,109831,5.831,FALSE,Sales
"Anderson, Kimberly",Female,1/14/1999,7:13 AM,41426,14.543,TRUE,Finance
"Thomas, Lillian",Female,6/5/2016,6:09 AM,59414,1.256,FALSE,Product
"Taylor, Jeremy",M,9/21/2010,5:56 AM,90370,7.369,FALSE,Human Resources
"Moore, Shawn",Male,12/7/1986,7:45 PM,111737,6.414,FALSE,Product
"Jackson, Diana",Female,10/23/1981,10:27 AM,132940,19.082,FALSE,Client Services
"Martin, Donna",Female,7/22/2010,3:48 AM,81014,1.894,FALSE,Product
"Lee, Lois",,4/22/1995,7:18 PM,64714,4.934,TRUE,Legal
"Perez, Matthew",Male,9/5/1995,2:12 AM,100612,13.645,FALSE,Marketing
"Thompson, Joshua",,3/8/2012,1:58 AM,90816,18.816,TRUE,Client Services
"White, ",Male,6/14/2012,4:19 PM,125792,5.042,,
"Harris, John",Male,7/1/1992,10:08 PM,97950,13.873,FALSE,Client Services
"Sanchez, ",Male,10/8/2012,1:12 AM,37076,18.576,,Client Services
"Clark, Craig",Male,2/27/2000,7:45 AM,37598,7.757,TRUE,Marketing
"Ramirez, Scott",,7/11/1991,6:58 PM,122367,5.218,FALSE,Legal
"Lewis, Terry",Male,11/27/1981,6:30 PM,124008,13.464,TRUE,Client Services
"Robinson, Benjamin",Male,1/26/2005,10:06 PM,79529,7.008,TRUE,Legal
"Walker, Christina",Female,8/6/2002,1:19 PM,118780,9.096,TRUE,Engineering
"Young, Joyce",,2/20/2005,2:40 PM,88657,12.752,FALSE,Product
"Allen, ",Male,8/21/1998,2:27 PM,122340,6.417,No,
"King, Jean",Female,12/18/1993,9:07 AM,119082,16.18,FALSE,Business Development
"Wright, Jerry",Male,1/10/2004,12:56 PM,95734,19.096,FALSE,Client Services
"Scott, Theresa",Female,10/10/2006,1:12 AM,85182,16.675,FALSE,Sales
"Torres, Rachel",F,2/16/2009,8:47 PM,142032,12.599,FALSE,Business Development
"Nguyen, Linda",Female,10/19/1981,8:49 PM,57427,9.557,TRUE,Client Services
"Hill, Stephanie",Female,9/13/1986,1:52 AM,36844,5.574,TRUE,Business Development
