FirstName,LastName,MiddleName,Sex,Title,Department,BaseRate,Hours
Guy,Gilbert,R,Male,Production Technician - WC60,Production,12.45,32
JoLynn,Dobney,M,Female,Production Supervisor - WC60,Production,25,33
Ruth,Ellerbrock,Ann,Male,Production Technician - WC10,Production,13.45,35
Barry,Johnson,K,Male,Production Technician - WC10,Production,13.45,40
Sidney,Higa,M,Male,Production Technician - WC10,Production,13.45,45
Taylor,Maxwell,R,Male,Production Supervisor - WC50,Production,25,40
Jeffrey,Ford,L,Male,Production Technician - WC10,Production,13.45,43
Jo,Brown,A,Female,Production Supervisor - WC60,Production,25,30
Doris,Hartwig,M,Male,Production Technician - WC10,Production,13.45,43
John,Campbell,T,Male,Production Supervisor - WC60,Production,25,34
Diane,Glimp,R,Male,Production Technician - WC10,Production,13.45,40
Steven,Selikoff,T,Male,Production Technician - WC30,Production,9.5,37
Stuart,Munson,V,Male,Production Technician - WC45,Production,10,34
Greg,Alderson,F,Male,Production Technician - WC45,Production,10,38
David,Johnson,N,Male,Production Technician - WC30,Production,9.5,44
Zheng,Mu,W,Male,Production Supervisor - WC10,Production,25,41
Ivo,Salmre,William,Male,Production Technician - WC20,Production,14,38
Paul,Komosinski,B,Male,Production Technician - WC40,Production,15,34
Kendall,Keil,C,Male,Production Technician - WC50,Production,11,41
Alejandro,McGuel,E,Male,Production Technician - WC40,Production,15,33
Garrett,Young,R,Male,Production Technician - WC30,Production,9.5,35
Jian Shuo,Wang,,Female,Production Technician - WC30,Production,9.5,31
Alice,Ciccu,O,Male,Production Technician - WC50,Production,11,33
Simon,Rapier,D,Male,Production Technician - WC60,Production,12.45,43
Jinghao,Liu,K,Female,Production Supervisor - WC50,Production,25,38
Michael,Hines,T,Male,Production Technician - WC20,Production,14,36
Yvonne,McKay,S,Female,Production Technician - WC45,Production,10,37
Russell,Hunter,,Male,Production Technician - WC50,Production,11,34
Fred,Northup,T,Male,Production Technician - WC40,Production,15,36
Jun,Cao,T,Male,Production Technician - WC50,Production,11,39
Susan,Metters,A,Male,Production Technician - WC30,Production,9.5,40
Reuben,D'sa,H,Male,Production Supervisor - WC40,Production,25,35
Kirk,Koenigsbauer,J,Male,Production Technician - WC45,Production,10,35
David,Ortiz,J,Male,Production Technician - WC60,Production,12.45,31
Hanying,Feng,P,Male,Production Technician - WC20,Production,14,40
Kevin,Liu,H,Male,Production Technician - WC40,Production,15,30
Annik,Stahl,O,Female,Production Technician - WC60,Production,12.45,30
Suroor,Fatima,R,Female,Production Technician - WC50,Production,11,41
Jim,Scardelis,H,Male,Production Technician - WC50,Production,11,36
Carole,Poland,M,Female,Production Technician - WC30,Production,9.5,33
George,Li,Z,Male,Production Technician - WC30,Production,9.5,43
Gary,Yukish,W,Male,Production Technician - WC40,Production,15,41
Cristian,Petculescu,K,Male,Production Supervisor - WC10,Production,25,33
Raymond,Sam,K,Male,Production Technician - WC20,Production,14,31
Bob,Hohman,N,Male,Production Technician - WC50,Production,11,44
Shammi,Mohamed,G,Male,Production Technician - WC40,Production,15,43
Linda,Moschell,K,Male,Production Technician - WC50,Production,11,42
Sandra,Reátegui Alayo,,Male,Production Technician - WC30,Production,9.5,34
Kok-Ho,Loh,T,Female,Production Supervisor - WC50,Production,25,39
Douglas,Hite,B,Male,Production Technician - WC45,Production,10,31
James,Kramer,D,Male,Production Technician - WC60,Production,12.45,33
Nitin,Mirchandani,S,Male,Production Technician - WC20,Production,14,30
Rebecca,Laszlo,A,Male,Production Technician - WC60,Production,12.45,41
Rajesh,Patel,M,Male,Production Technician - WC40,Production,15,36
John,Evans,P,Male,Production Technician - WC50,Production,11,45
Nancy,Anderson,A,Male,Production Technician - WC60,Production,12.45,45
David,Yalovsky,A,Male,Production Technician - WC30,Production,9.5,39
David,Hamilton,P,Male,Production Supervisor - WC40,Production,25,44
Laura,Steele,C,Male,Production Technician - WC45,Production,10,44
Margie,Shoop,W,Female,Production Technician - WC60,Production,12.45,42
Lorraine,Nay,O,Female,Production Technician - WC40,Production,15,37
Fadi,Fakhouri,K,Male,Production Technician - WC20,Production,14,40
Ryan,Cornelsen,L,Male,Production Technician - WC40,Production,15,30
Nuan,Yu,,Female,Production Technician - WC50,Production,11,34
Bjorn,Rettig,M,Male,Production Technician - WC30,Production,9.5,40
Scott,Gode,R,Male,Production Technician - WC45,Production,10,33
Michael,Rothkugel,L,Male,Production Technician - WC40,Production,15,43
Lane,Sacksteder,M,Male,Production Technician - WC20,Production,14,32
Pete,Male,C,Male,Production Technician - WC50,Production,11,41
Lolan,Song,B,Male,Production Technician - WC50,Production,11,35
Paula,Nartker,R,Female,Production Technician - WC40,Production,15,42
Mindaugas,Krapauskas,J,Male,Production Technician - WC50,Production,11,34
Eric,Gubbels,,Male,Production Supervisor - WC20,Production,25,32
Jason,Watters,M,Male,Production Technician - WC30,Production,9.5,45
Janeth,Esteves,M,Female,Production Technician - WC45,Production,10,36
Marc,Ingle,J,Male,Production Technician - WC30,Production,9.5,31
Paul,Singh,R,Male,Production Technician - WC20,Production,14,37
Frank,Lee,T,Male,Production Technician - WC40,Production,15,41
Diane,Tibbott,H,Male,Production Technician - WC50,Production,11,41
Angela,Barbariol,W,Male,Production Technician - WC50,Production,11,41
Bryan,Baker,,Male,Production Technician - WC60,Production,12.45,40
Jeff,Hay,V,Male,Production Supervisor - WC45,Production,25,40
Eugene,Zabokritski,R,Male,Production Technician - WC30,Production,9.5,35
Barbara,Decker,S,Male,Production Technician - WC20,Production,14,39
Chris,Preston,T,Male,Production Technician - WC45,Production,10,44
Mark,McArthur,K,Male,Production Technician - WC60,Production,12.45,34
Houman,Pournasseh,N,Male,Production Technician - WC50,Production,11,42
Michiko,Osada,F,Female,Production Technician - WC30,Production,9.5,44
Benjamin,Martin,R,Male,Production Technician - WC30,Production,9.5,44
Cynthia,Randall,S,Male,Production Supervisor - WC30,Production,25,37
Kathie,Flood,E,Female,Production Technician - WC45,Production,10,41
Britta,Simon,L,Female,Production Technician - WC60,Production,12.45,42
Brian,Lloyd,T,Male,Production Technician - WC40,Production,15,35
Michael,Patten,W,Male,Production Technician - WC50,Production,11,31
Andy,Ruth,M,Male,Production Technician - WC30,Production,9.5,42
Yuhong,Li,L,Male,Production Supervisor - WC20,Production,25,39
Robert,Rounthwaite,J,Male,Production Technician - WC45,Production,10,41
Reed,Koch,T,Male,Production Technician - WC30,Production,9.5,43
Linda,Randall,A,Male,Production Technician - WC20,Production,14,39
James,Hamilton,R,Male,Vice President of Production,Production,84.135,40
Samantha,Smith,H,Male,Production Technician - WC20,Production,14,34
Tawana,Nusbaum,G,Female,Production Technician - WC40,Production,15,30
Denise,Smith,H,Female,Production Technician - WC50,Production,11,36
Alex,Nayberg,M,Male,Production Technician - WC45,Production,10,43
Eugene,Kogan,O,Male,Production Technician - WC60,Production,12.45,36
Brandon,Heidepriem,G,Male,Production Technician - WC60,Production,12.45,37
Shane,Kim,S,Male,Production Supervisor - WC45,Production,25,42
John,Chen,Y,Male,Production Technician - WC20,Production,14,32
Jose,Lugo,R,Male,Production Technician - WC60,Production,12.45,33
Mandar,Samant,H,Male,Production Technician - WC50,Production,11,38
Sameer,Tejani,A,Male,Production Technician - WC50,Production,11,32
Carol,Philips,M,Male,Production Technician - WC30,Production,9.5,32
Rob,Caron,T,Male,Production Technician - WC40,Production,15,37
Don,Hall,L,Male,Production Technician - WC50,Production,11,45
David,Lawrence,Oliver,Male,Production Technician - WC30,Production,9.5,42
Baris,Cetinok,F,Male,Production Technician - WC40,Production,15,36
Michael,Ray,Sean,Male,Production Supervisor - WC30,Production,25,41
